"geo_accession","sample_id","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index","inventory_quant_path","inventory_tissue","inventory_group","matched_quant_inventory_by_GSM"
"GSM7140515","GSM7140515_RECON11_synovium","RECON11_synovium","synovium","Reconstruction_52W",78,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140516","GSM7140516_CON8_synovium","CON8_synovium","synovium","Control_52W",79,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140517","GSM7140517_RECON12_synovium","RECON12_synovium","synovium","Reconstruction_52W",80,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz","synovium","Reconstruction_52W",TRUE
"GSM7140518","GSM7140518_CON9_synovium","CON9_synovium","synovium","Control_52W",81,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140519","GSM7140519_REPAIR1_synovium","REPAIR1_synovium","synovium","Repair_52W",82,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140520","GSM7140520_REPAIR2_synovium","REPAIR2_synovium","synovium","Repair_52W",83,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140521","GSM7140521_REPAIR3_synovium","REPAIR3_synovium","synovium","Repair_52W",84,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140522","GSM7140522_REPAIR4_synovium","REPAIR4_synovium","synovium","Repair_52W",85,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140523","GSM7140523_CON10_synovium","CON10_synovium","synovium","Control_52W",86,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140524","GSM7140524_REPAIR5_synovium","REPAIR5_synovium","synovium","Repair_52W",87,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140525","GSM7140525_REPAIR6_synovium","REPAIR6_synovium","synovium","Repair_52W",88,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140526","GSM7140526_REPAIR7_synovium","REPAIR7_synovium","synovium","Repair_52W",89,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140527","GSM7140527_CON11_synovium","CON11_synovium","synovium","Control_52W",90,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140528","GSM7140528_REPAIR8_synovium","REPAIR8_synovium","synovium","Repair_52W",91,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140529","GSM7140529_REPAIR9_synovium","REPAIR9_synovium","synovium","Repair_52W",92,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140530","GSM7140530_REPAIR10_synovium","REPAIR10_synovium","synovium","Repair_52W",93,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140531","GSM7140531_REPAIR11_synovium","REPAIR11_synovium","synovium","Repair_52W",94,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
"GSM7140532","GSM7140532_CON12_synovium","CON12_synovium","synovium","Control_52W",95,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140533","GSM7140533_REPAIR12_synovium","REPAIR12_synovium","synovium","Repair_52W",96,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","synovium","Repair_52W",TRUE
