"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"4W","Mylip",0.42210093867533,8.97521958767709e-05,0.00037003647959937,8.97521958767709e-05,8.97521958767709e-05,FALSE,4.04695491717306,1981
"4W","Dvl2",0.425577503132128,9.03305817374357e-05,0.000371921946549649,9.03305817374357e-05,9.03305817374357e-05,FALSE,4.04416519286129,1982
"4W","Smap1",0.325787476634602,9.05930414492208e-05,0.000372466967658542,9.05930414492208e-05,9.05930414492208e-05,FALSE,4.04290515967712,1983
"4W","Kcnj15",2.66872545498204,9.07631474345291e-05,0.000373059207198598,9.07631474345291e-05,9.07631474345291e-05,FALSE,4.04209045230068,1984
"4W","Txlna",0.514267249153923,9.09398105413475e-05,0.00037357082574173,9.09398105413475e-05,9.09398105413475e-05,FALSE,4.04124595491355,1985
"4W","Ttc5",0.45455587827428,9.11052498443481e-05,0.000373956455076915,9.11052498443481e-05,9.11052498443481e-05,FALSE,4.04045659654249,1986
"4W","Map3k14",0.499573194779303,9.11175607701666e-05,0.000373956455076915,9.11175607701666e-05,9.11175607701666e-05,FALSE,4.04039791489731,1987
"4W","Zfp385b",1.03782950242015,9.11357168456211e-05,0.000373956455076915,9.11357168456211e-05,9.11357168456211e-05,FALSE,4.04031138604568,1988
"4W","Ly6c1",0.704644224574059,9.13208925912896e-05,0.000374598824738367,9.13208925912896e-05,9.13208925912896e-05,FALSE,4.03942985226747,1989
"4W","Gng12",0.309206353897504,9.14015986607201e-05,0.000374822482505548,9.14015986607201e-05,9.14015986607201e-05,FALSE,4.03904620816707,1990
"4W","Syn1",1.83625493467256,9.15655053512164e-05,0.000375279637734902,9.15655053512164e-05,9.15655053512164e-05,FALSE,4.03826810337435,1991
"4W","Aspg",2.84698743212475,9.17336679103048e-05,0.000375861244935296,9.17336679103048e-05,9.17336679103048e-05,FALSE,4.03747124116635,1992
"4W","Ncf1",0.844510764652399,9.17897366200609e-05,0.000375983367511529,9.17897366200609e-05,9.17897366200609e-05,FALSE,4.03720587629832,1993
"4W","Tax1bp3",0.684140782255816,9.19970922269975e-05,0.000376724934874627,9.19970922269975e-05,9.19970922269975e-05,FALSE,4.03622589928191,1994
"4W","Ifi211",0.825455925585064,9.21859248861912e-05,0.000377347230555627,9.21859248861912e-05,9.21859248861912e-05,FALSE,4.0353353827521,1995
"4W","Mdga2",2.52660344751255,9.22017751106162e-05,0.000377347230555627,9.22017751106162e-05,9.22017751106162e-05,FALSE,4.03526071763049,1996
"4W","Prr7",1.39083377723991,9.23577465854343e-05,0.000377877536472443,9.23577465854343e-05,9.23577465854343e-05,FALSE,4.03452667187277,1997
"4W","Glis3",1.44665715815386,9.24485254576838e-05,0.000378084195834263,9.24485254576838e-05,9.24485254576838e-05,FALSE,4.03410001139176,1998
"4W","Enpp3",0.745134090883486,9.28012874081659e-05,0.000379258701266144,9.28012874081659e-05,9.28012874081659e-05,FALSE,4.03244599888476,1999
"4W","Trim62",0.90063658777732,9.31567252260965e-05,0.000380602647927168,9.31567252260965e-05,9.31567252260965e-05,FALSE,4.03078578678864,2000
"4W","Tle3",0.692493338165244,9.38497894126184e-05,0.00038281976936301,9.38497894126184e-05,9.38497894126184e-05,FALSE,4.02756669754493,2001
"4W","Chst12",0.738279419621593,9.38598344833867e-05,0.00038281976936301,9.38598344833867e-05,9.38598344833867e-05,FALSE,4.02752021597709,2002
"4W","Parp4",0.40264127155639,9.51679413233349e-05,0.000387602915500672,9.51679413233349e-05,9.51679413233349e-05,FALSE,4.02150932526231,2003
"4W","Tnfaip6",2.54546680885953,9.52611838653105e-05,0.000387695484109241,9.52611838653105e-05,9.52611838653105e-05,FALSE,4.02108402556454,2004
"4W","Slc6a9",0.570178160110408,9.52913142436605e-05,0.000387695484109241,9.52913142436605e-05,9.52913142436605e-05,FALSE,4.0209466832857,2005
"4W","Fstl3",0.765801780645198,9.55220903812104e-05,0.000388382347599378,9.55220903812104e-05,9.55220903812104e-05,FALSE,4.01989618212037,2006
"4W","Begain",1.07855763769446,9.55960818233897e-05,0.000388572830035107,9.55960818233897e-05,9.55960818233897e-05,FALSE,4.01955990769621,2007
"4W","Slc4a3",0.573939370527794,9.60144472396928e-05,0.000390162596276878,9.60144472396928e-05,9.60144472396928e-05,FALSE,4.01766341399789,2008
"4W","Gli1",1.0134977416281,9.6141703510919e-05,0.000390568850017683,9.6141703510919e-05,9.6141703510919e-05,FALSE,4.01708818698335,2009
"4W","Pira2",1.3390029347217,9.61982707214645e-05,0.000390582350162127,9.61982707214645e-05,9.61982707214645e-05,FALSE,4.01683273485279,2010
"4W","Trpv2",0.87339548312195,9.62657419029033e-05,0.000390740108047055,9.62657419029033e-05,9.62657419029033e-05,FALSE,4.01652823779293,2011
"4W","Nexmif",1.81947928011366,9.63387470870148e-05,0.000390925596172819,9.63387470870148e-05,9.63387470870148e-05,FALSE,4.01619900610892,2012
"4W","Txndc11",0.4125812083331,9.64220260540644e-05,0.000391152656557094,9.64220260540644e-05,9.64220260540644e-05,FALSE,4.0158237472063,2013
"4W","Fam53c",0.318886002886972,9.68223274765385e-05,0.000392595511483838,9.68223274765385e-05,9.68223274765385e-05,FALSE,4.01402448172335,2014
"4W","Lyz1",0.979421040082817,9.69632583143014e-05,0.000393014157991942,9.69632583143014e-05,9.69632583143014e-05,FALSE,4.01339279907563,2015
"4W","Senp1",0.347101503546441,9.73228532588863e-05,0.000394136907285493,9.73228532588863e-05,9.73228532588863e-05,FALSE,4.01178516714334,2016
"4W","P2rx4",0.901204729106377,9.74446073418917e-05,0.000394406841590761,9.74446073418917e-05,9.74446073418917e-05,FALSE,4.01124219006572,2017
"4W","Usp22",0.434583681604223,9.75103164328418e-05,0.000394561246481787,9.75103164328418e-05,9.75103164328418e-05,FALSE,4.01094943422105,2018
"4W","Dnase2a",0.888564051533024,9.77906316706375e-05,0.000395471944349392,9.77906316706375e-05,9.77906316706375e-05,FALSE,4.00970274857259,2019
"4W","Ccnb2",1.55633216108944,9.78674757721763e-05,0.00039555922731634,9.78674757721763e-05,9.78674757721763e-05,FALSE,4.0093616129926,2020
"4W","Ccdc120",0.997117159609398,9.84001710444595e-05,0.000397375697791956,9.84001710444595e-05,9.84001710444595e-05,FALSE,4.00700414665402,2021
"4W","Hoxd4",0.723742339200821,9.84432869141353e-05,0.000397437703176188,9.84432869141353e-05,9.84432869141353e-05,FALSE,4.00681389410739,2022
"4W","Kctd10",0.476445129111958,9.86826179437072e-05,0.000398165278604241,9.86826179437072e-05,9.86826179437072e-05,FALSE,4.00575933766401,2023
"4W","Usp54",0.42103904471469,9.87069414477822e-05,0.000398165278604241,9.87069414477822e-05,9.87069414477822e-05,FALSE,4.00565230501562,2024
"4W","Matk",0.858706413634977,9.96427548841788e-05,0.000401261794352153,9.96427548841788e-05,9.96427548841788e-05,FALSE,4.00155427376442,2025
"4W","Itpr3",0.949759629949453,9.99904267781064e-05,0.000402322357997575,9.99904267781064e-05,9.99904267781064e-05,FALSE,4.00004157796463,2026
"4W","Oaf",0.712381934606182,0.00010045525121052,0.000404043499444053,0.00010045525121052,0.00010045525121052,FALSE,3.99802735595761,2027
"4W","Adss2",0.384370469711388,0.000100697340017537,0.000404825363575137,0.000100697340017537,0.000100697340017537,FALSE,3.99698200145198,2028
"4W","Elovl5",0.59510726915223,0.000101424643734359,0.000407291781122323,0.000101424643734359,0.000101424643734359,FALSE,3.99385650912991,2029
"4W","Thy1",1.07302246229986,0.000102832373950259,0.00041213557264051,0.000102832373950259,0.000102832373950259,FALSE,3.98787013811752,2030
"4W","Ranbp1",0.403768122990247,0.000103729602154825,0.000415034372400356,0.000103729602154825,0.000103729602154825,FALSE,3.98409728779707,2031
"4W","Socs1",1.18191547275918,0.000104406143513746,0.000416947093551061,0.000104406143513746,0.000104406143513746,FALSE,3.98127394562859,2032
