"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_20262",0.639935401251654,6.04538546811665,8.71930881380275,4.25514930227433e-09,5.35579961872014e-08,10.6848219593299,"68420","Ankrd13a",FALSE,"Not_strict","Ankrd13a",4.65308272635245
"G10090_7757",1.13917609631867,3.4238337315544,8.71399379476068,4.30529122726664e-09,5.41414962683769e-08,10.7540097897387,"333789","N4bp2",TRUE,"Up","N4bp2",8.27778863940862
"G10090_27749",-1.15377209223004,3.88685333771275,-8.71295559751045,4.31515623322724e-09,5.41807877008452e-08,10.663995592433,"212508","Mtg1",TRUE,"Down","Mtg1",8.38348649374761
"G10090_23314",-1.37333187367218,6.19406053625856,-8.71286821969752,4.31598756054528e-09,5.41807877008452e-08,10.6767711104606,"11564","Adsl",TRUE,"Down","Adsl",9.97884182838105
"G10090_25800",-1.35989119046827,6.3187394827608,-8.71244712715142,4.31999621387711e-09,5.41835809086725e-08,10.6872463148994,"28295","Gatd3a",TRUE,"Down","Gatd3a",9.88114929879669
"G10090_26252",-0.703390774371929,6.27163022829366,-8.71016714151515,4.34176739010498e-09,5.44089607003435e-08,10.6730007267943,"20597","Smpd1",FALSE,"Not_strict","Smpd1",5.10966240135649
"G10090_19060",3.14571519304801,-1.67920719075673,8.70895922188859,4.35334723992129e-09,5.45063450135727e-08,10.6684398913231,"67874","Rprm",TRUE,"Up","Rprm",22.8490688360922
"G10090_23672",1.2601762218471,4.57716963405847,8.70842303790281,4.35849758687392e-09,5.4523128466567e-08,10.6425188984227,"213391","Rassf4",TRUE,"Up","Rassf4",9.15318820656586
"G10090_16153",1.46104527461246,5.50345850913719,8.70725267919824,4.36976128951096e-09,5.46162915407785e-08,10.6511268155511,"54667","Atp8b2",TRUE,"Up","Atp8b2",10.6111010688797
"G10090_17528",-0.913919881418639,5.76907615349091,-8.70668772928707,4.37520914601751e-09,5.46366649988278e-08,10.6203969994192,"67895","Ppa1",FALSE,"Not_strict","Ppa1",6.63735759490137
"G10090_1289",2.40273119429741,-1.82849243520258,8.70386052762322,4.40257708006823e-09,5.49304974654372e-08,10.6289177157919,"78767","Efcab11",TRUE,"Up","Efcab11",17.4442765027734
"G10090_26719",1.65721289046947,0.180422540462909,8.70013600570243,4.43889993069239e-09,5.53354502684136e-08,10.9158621639141,"93890","Pcdhb19",TRUE,"Up","Pcdhb19",12.0263882317665
"G10090_18722",-0.950402380805318,2.22686236410938,-8.69846292793054,4.45531643428186e-09,5.5468195455997e-08,10.8357536131028,"432769","Zfp708",FALSE,"Not_strict","Zfp708",6.89607782203687
"G10090_17970",1.35718983976852,7.6678070894801,8.69826117119046,4.45730031265436e-09,5.5468195455997e-08,10.7986957714918,"14115","Fbln2",TRUE,"Up","Fbln2",9.84770971048168
