"source_type","contrast_key","file","basename","score","valid_de_table"
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_validation_flow_barplot/step21_current78_Figure4C_validation_flow_barplot_summary.csv","step21_current78_Figure4C_validation_flow_barplot_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_progress_78_to_24_summary.csv","step21_current78_progress_78_to_24_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_heatmap_step09_style_summary.csv","step22_current78_Figure4D_core_heatmap_step09_style_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style_old/step22_current78_Figure4D_core_heatmap_step09_style_summary.csv","step22_current78_Figure4D_core_heatmap_step09_style_summary.csv",-20,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/Figure4_descriptive_score_GSEA_summary/pig_early_descriptive_score_GSEA_summary_run_summary.csv","pig_early_descriptive_score_GSEA_summary_run_summary.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/Figure4_descriptive_score_GSEA_summary/pig_early_integrated_score_GSEA_descriptive_summary.csv","pig_early_integrated_score_GSEA_descriptive_summary.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/Figure4_descriptive_score_GSEA_summary/pig_early_target_Hallmark_GSEA_NES_descriptive_summary.csv","pig_early_target_Hallmark_GSEA_NES_descriptive_summary.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step11_fastqc_module_status_wide.csv","step11_fastqc_module_status_wide.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step12_fastqc_key_module_evidence.csv","step12_fastqc_key_module_evidence.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step12_fastqc_trimming_decision_summary.csv","step12_fastqc_trimming_decision_summary.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step13_pig_early_subread_index_candidates.csv","step13_pig_early_subread_index_candidates.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step14_pig_early_index_reuse_decision_summary.csv","step14_pig_early_index_reuse_decision_summary.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_filter_stats.csv","step17_pig_early_DE_filter_stats.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_run_summary.csv","step17_pig_early_DE_run_summary.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepB_pig_early_fastq_manifest_wide.csv","stepB_pig_early_fastq_manifest_wide.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix_parser_pig_early_strandness_featureCounts_detail.csv","stepBfix_parser_pig_early_strandness_featureCounts_detail.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix2_pig_early_strandness_featureCounts_detail.csv","stepBfix2_pig_early_strandness_featureCounts_detail.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix3_pig_early_strandness_featureCounts_detail.csv","stepBfix3_pig_early_strandness_featureCounts_detail.csv",-50,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepC_rerun_fixed_v2_pig_early_fastq_manifest_wide.csv","stepC_rerun_fixed_v2_pig_early_fastq_manifest_wide.csv",-50,FALSE
