"sample_id","geo_accession","tissue_inferred","group_inferred","filename","file","file_exists","size_bytes","size_mb"
"GSM7140505_RECON3_synovium","GSM7140505","synovium","Reconstruction_52W","GSM7140505_RECON3_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz",TRUE,776207,0.74
"GSM7140506_RECON4_synovium","GSM7140506","synovium","Reconstruction_52W","GSM7140506_RECON4_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz",TRUE,777376,0.741
"GSM7140507_CON6_synovium","GSM7140507","synovium","Control_52W","GSM7140507_CON6_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz",TRUE,793844,0.757
"GSM7140508_RECON5_synovium","GSM7140508","synovium","Reconstruction_52W","GSM7140508_RECON5_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz",TRUE,768486,0.733
"GSM7140509_RECON6_synovium","GSM7140509","synovium","Reconstruction_52W","GSM7140509_RECON6_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz",TRUE,749674,0.715
"GSM7140510_RECON7_synovium","GSM7140510","synovium","Reconstruction_52W","GSM7140510_RECON7_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz",TRUE,755805,0.721
"GSM7140511_CON7_synovium","GSM7140511","synovium","Control_52W","GSM7140511_CON7_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz",TRUE,786520,0.75
"GSM7140512_RECON8_synovium","GSM7140512","synovium","Reconstruction_52W","GSM7140512_RECON8_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz",TRUE,784314,0.748
"GSM7140513_RECON9_synovium","GSM7140513","synovium","Reconstruction_52W","GSM7140513_RECON9_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz",TRUE,772432,0.737
"GSM7140514_RECON10_synovium","GSM7140514","synovium","Reconstruction_52W","GSM7140514_RECON10_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz",TRUE,773070,0.737
"GSM7140515_RECON11_synovium","GSM7140515","synovium","Reconstruction_52W","GSM7140515_RECON11_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz",TRUE,759088,0.724
"GSM7140516_CON8_synovium","GSM7140516","synovium","Control_52W","GSM7140516_CON8_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz",TRUE,775147,0.739
"GSM7140517_RECON12_synovium","GSM7140517","synovium","Reconstruction_52W","GSM7140517_RECON12_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz",TRUE,751529,0.717
