"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000039230","POLR2D",0.225191099297254,0.0711598404631519,0.130846161277435,1.1477650342538
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000035973","LSM6",0.261616068018338,0.0712543448894509,0.131002925884499,1.14718864845656
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000037556","COG5",0.19170322583871,0.0714288510554185,0.131301737849783,1.14612633551601
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002329","MAP3K9",0.5566052745317,0.0714414997098334,0.131301737849783,1.14604943725405
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005506","MEGF9",0.32555165971037,0.0715007083584981,0.131382963612537,1.14568965561622
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000008496","EIF2AK2",0.273143005790235,0.0715074319746576,0.131382963612537,1.14564881836889
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011916","ATP6V1A",0.320824458969419,0.0715212885141264,0.131391378795601,1.14556466997369
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000000394","CNPY2",0.28011907983793,0.0716046643211083,0.131527488710177,1.14505868686894
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000025270","CHRD",0.586698494871365,0.0717355340634451,0.131733709902066,1.14426566406895
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000061203","ENSSSCG00000061203",0.344797643909174,0.072175786928268,0.132473480115587,1.14160847233479
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000000656","CLEC2B",0.541344049612054,0.0723242061468002,0.132711498362907,1.14071632460644
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005023","ABHD12B",0.46342306489868,0.072624500555633,0.13320713753006,1.13891684126844
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000030130","DPYSL2",0.207547412260898,0.0727314336991945,0.133355084390342,1.13827785142881
