"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000036102","ENSSSCG00000036102",-1.03993372588454,0.000107934259960657,0.000955686110883364,-3.96684068182109
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000024669","NBL1",-1.0195732407601,0.000107469923817058,0.000952401185624333,-3.9687130589842
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000994","GMDS",-0.510020492785746,0.000107409750913698,0.000952401185624333,-3.96895629055652
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040538","WDFY2",-0.665813062477785,0.000107157088868932,0.00095143535722434,-3.9699790933592
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031710","BRF1",-0.944445662839018,0.000106987978593086,0.00095053659661192,-3.97066501786609
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000016217","DNAJB2",-0.569605321735016,0.000106798286751393,0.000950056932079422,-3.97143571416499
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000025610","AGAP3",-0.569047144648689,0.000106682635996505,0.000949631448965708,-3.97190626196798
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031147","ACAP2",-0.40419752139716,0.000106379861139641,0.000947538686817592,-3.97314058091079
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000005235","KANK1",-1.29716783969398,0.000105814154668079,0.000943343695662839,-3.97545623321707
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000001076","RNF144B",-0.975568860924654,0.000103823127001074,0.000928901868542513,-3.98370589494417
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000005085","C14orf39",-1.45310741981693,0.000103605240295194,0.000927545124433057,-3.98461827766289
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000037566","ENSSSCG00000037566",-0.84342773788658,0.000103505262736214,0.000927545124433057,-3.98503756789604
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000036608","ENSSSCG00000036608",-1.08484772816782,0.000103471066622745,0.000927545124433057,-3.98518107400191
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000032660","TMEM35B",-0.832678454439735,0.000102454360892424,0.000920768617484813,-3.98946955145304
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000054721","PAGR1",-1.07003054465824,0.000100857366346326,0.000907586660399264,-3.99629237661106
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000052641","ENSSSCG00000052641",-1.22717291416776,0.000100823925331906,0.000907586660399264,-3.99643639837971
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003193","TBC1D17",-0.609568800493614,0.000100765376431727,0.000907586660399264,-3.9966886683639
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000022447","F3",-2.63254888131158,9.9906975835826e-05,0.000901351466271414,-4.00040418683672
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017139","RPTOR",-0.863682602062333,9.95555419737047e-05,0.000898759960487307,-4.00193455902576
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000759","WNT5B",-1.55965585188859,9.95466712374773e-05,0.000898759960487307,-4.00197325786024
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000039516","LRRC47",-0.641486575016642,9.90538276287581e-05,0.000895385212690685,-4.00412873783436
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017801","TRARG1",-4.12917264423721,9.88201076923435e-05,0.000894427374213441,-4.00515467716017
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000015720","BIN1",-0.911900851344198,9.82867145076113e-05,0.000890175017164019,-4.00750518212688
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017114","NDUFS6",-0.801825090113939,9.78819830476304e-05,0.000887083188759172,-4.00929724060837
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014598","PPFIBP2",-0.690233338526349,9.75077222364852e-05,0.000884755559049236,-4.01096098848722
